index,text,image,group,id,tag
351,0,0,0,351,Both
352,0,0,0,352,Object
353,1,0,0,353,Relation
354,0,0,0,354,Object
355,0,0,0,355,Relation
356,0,0,0,356,Relation
357,0,0,0,357,Relation
358,0,0,0,358,Relation
359,1,0,0,359,Relation
360,1,0,0,360,Object
361,0,0,0,361,Object
362,0,0,0,362,Object
363,1,0,0,363,Object
364,1,1,1,364,Both
365,1,0,0,365,Object
366,0,0,0,366,Relation
367,0,0,0,367,Object
368,1,0,0,368,Object
369,0,0,0,369,Object
370,0,0,0,370,Relation
371,1,0,0,371,Object
372,1,0,0,372,Object
373,1,1,1,373,Object
374,0,0,0,374,Relation
375,0,0,0,375,Relation
376,1,0,0,376,Both
377,1,0,0,377,Relation
378,0,0,0,378,Object
379,0,0,0,379,Object
380,0,0,0,380,Relation
381,1,0,0,381,Relation
382,1,0,0,382,Relation
383,0,0,0,383,Relation
384,1,0,0,384,Object
385,0,0,0,385,Relation
386,0,0,0,386,Relation
387,1,0,0,387,Relation
388,0,0,0,388,Relation
389,1,1,1,389,Object
390,1,0,0,390,Relation
391,0,0,0,391,Relation
392,1,1,1,392,Relation
393,0,0,0,393,Object
394,0,0,0,394,Relation
395,0,0,0,395,Object
396,0,0,0,396,Relation
397,1,0,0,397,Relation
398,0,0,0,398,Relation
399,0,0,0,399,Relation
